source,source_type,relation,target,target_type,provenance
synthetic:shots:lot:0,lot,has_conditions,synthetic:conditions:lot:0,condition_record,설계: 생성 LOT 키 연결
synthetic:shots:lot:0,lot,has_log,synthetic:worklog:lot:0,worklog,설계: 생성 LOT 키 연결
synthetic:shots:lot:1,lot,has_conditions,synthetic:conditions:lot:1,condition_record,설계: 생성 LOT 키 연결
synthetic:shots:lot:1,lot,has_log,synthetic:worklog:lot:1,worklog,설계: 생성 LOT 키 연결
synthetic:shots:lot:2,lot,has_conditions,synthetic:conditions:lot:2,condition_record,설계: 생성 LOT 키 연결
synthetic:shots:lot:2,lot,has_log,synthetic:worklog:lot:2,worklog,설계: 생성 LOT 키 연결
synthetic:shots:lot:3,lot,has_conditions,synthetic:conditions:lot:3,condition_record,설계: 생성 LOT 키 연결
synthetic:shots:lot:3,lot,has_log,synthetic:worklog:lot:3,worklog,설계: 생성 LOT 키 연결
synthetic:shots:lot:4,lot,has_conditions,synthetic:conditions:lot:4,condition_record,설계: 생성 LOT 키 연결
synthetic:shots:lot:4,lot,has_log,synthetic:worklog:lot:4,worklog,설계: 생성 LOT 키 연결
synthetic:shots:lot:5,lot,has_conditions,synthetic:conditions:lot:5,condition_record,설계: 생성 LOT 키 연결
synthetic:shots:lot:5,lot,has_log,synthetic:worklog:lot:5,worklog,설계: 생성 LOT 키 연결
synthetic:channel:22,channel,observes,synthetic:component:screw,component,"관계 설계; 패키지 AAS의 쿠션-스크류 대응 참고, 원인 확정 아님"
