sequence,cushion,cycle,label,label_origin
0,6.9345,30.165,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
1,7.0964,30.826,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
2,7.6183,30.528,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
3,8.5865,31.494,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
4,8.0121,30.109,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
5,9.4675,32.022,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
6,6.5522,30.485,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
7,8.5667,29.878,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
8,8.7599,28.808,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
9,8.5601,30.279,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
10,7.6174,28.701,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
11,7.8481,28.737,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
12,8.0809,30.2,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
13,8.8664,27.845,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
14,6.1439,31.409,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
15,8.3215,30.734,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
16,7.5563,30.92,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
17,9.0918,29.731,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
18,8.2678,28.947,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
19,10.2487,29.47,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
20,6.7717,30.115,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
21,7.9491,28.201,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
22,8.631,28.625,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
23,8.1041,29.971,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
24,7.2995,30.976,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
25,6.6275,29.079,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
26,6.6795,30.638,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
27,7.3768,31.922,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
28,8.047,28.657,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
29,7.2179,31.214,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
30,9.2791,29.404,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
31,7.5666,30.481,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
32,7.8117,30.314,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
33,8.2471,30.417,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
34,7.8112,29.443,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
35,8.1467,29.219,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
36,6.794,29.522,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
37,8.2916,28.6,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
