parent,child
Injection_Molding_Machine,Injection_Molding_Machine.Alarm_Data
Injection_Molding_Machine,Injection_Molding_Machine.CAD
Injection_Molding_Machine,Injection_Molding_Machine.Component
Injection_Molding_Machine,Injection_Molding_Machine.Controller
Injection_Molding_Machine,Injection_Molding_Machine.Energy
Injection_Molding_Machine,Injection_Molding_Machine.Identification
Injection_Molding_Machine,Injection_Molding_Machine.Log_Event
Injection_Molding_Machine,Injection_Molding_Machine.Machine_Configuration
Injection_Molding_Machine,Injection_Molding_Machine.Maintenance
Injection_Molding_Machine,Injection_Molding_Machine.Operational_Data
Injection_Molding_Machine.Alarm_Data,Injection_Molding_Machine.Alarm_Data.Alarm_Info
Injection_Molding_Machine.Alarm_Data,Injection_Molding_Machine.Alarm_Data.Alarm_n
Injection_Molding_Machine.Alarm_Data.Alarm_Info,Injection_Molding_Machine.Alarm_Data.Alarm_Info.Alarm_Status
Injection_Molding_Machine.Alarm_Data.Alarm_Info,Injection_Molding_Machine.Alarm_Data.Alarm_Info.No_Alarm
Injection_Molding_Machine.Alarm_Data.Alarm_n,Injection_Molding_Machine.Alarm_Data.Alarm_n.Alarm_Category
Injection_Molding_Machine.Alarm_Data.Alarm_n,Injection_Molding_Machine.Alarm_Data.Alarm_n.Alarm_Number
Injection_Molding_Machine.Alarm_Data.Alarm_n,Injection_Molding_Machine.Alarm_Data.Alarm_n.Alarm_Raised_Time_Stamp
Injection_Molding_Machine.Alarm_Data.Alarm_n,Injection_Molding_Machine.Alarm_Data.Alarm_n.Alarm_Text
Injection_Molding_Machine.CAD,Injection_Molding_Machine.CAD.ECAD
Injection_Molding_Machine.CAD,Injection_Molding_Machine.CAD.MCAD
Injection_Molding_Machine.CAD.ECAD,Injection_Molding_Machine.CAD.ECAD.CadItem_n
Injection_Molding_Machine.CAD.ECAD.CadItem_n,Injection_Molding_Machine.CAD.ECAD.CadItem_n.File_Name
Injection_Molding_Machine.CAD.ECAD.CadItem_n,Injection_Molding_Machine.CAD.ECAD.CadItem_n.File_Number
Injection_Molding_Machine.CAD.ECAD.CadItem_n,Injection_Molding_Machine.CAD.ECAD.CadItem_n.File_Size
Injection_Molding_Machine.CAD.MCAD,Injection_Molding_Machine.CAD.MCAD.CadItem_n
Injection_Molding_Machine.CAD.MCAD.CadItem_n,Injection_Molding_Machine.CAD.MCAD.CadItem_n.File_Name
Injection_Molding_Machine.CAD.MCAD.CadItem_n,Injection_Molding_Machine.CAD.MCAD.CadItem_n.File_Number
Injection_Molding_Machine.CAD.MCAD.CadItem_n,Injection_Molding_Machine.CAD.MCAD.CadItem_n.File_Size
Injection_Molding_Machine.Component,Injection_Molding_Machine.Component.Clamping_Unit
Injection_Molding_Machine.Component,Injection_Molding_Machine.Component.Injection_Unit
Injection_Molding_Machine.Component.Clamping_Unit,Injection_Molding_Machine.Component.Clamping_Unit.Component
Injection_Molding_Machine.Component.Clamping_Unit.Component,Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant
Injection_Molding_Machine.Component.Clamping_Unit.Component,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold
Injection_Molding_Machine.Component.Clamping_Unit.Component,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n
Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant,Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Operational_Data
Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant,Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Parameter_Set
Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Operational_Data.Coolant_Temp
Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Operational_Data.Cooling_Time
