elapsed_s,raw_value,value,quality_flag,origin_cycle_id,unit
0,35.586,35.586,OK,1500,°C
1,35.488,35.488,OK,1500,°C
2,35.422,35.422,OK,1500,°C
3,35.402,35.402,OK,1500,°C
4,35.32,35.32,OK,1500,°C
5,35.262,35.262,OK,1500,°C
6,35.234,35.234,OK,1500,°C
7,35.16,35.16,OK,1500,°C
8,35.156,35.156,OK,1500,°C
9,35.148,35.148,OK,1500,°C
10,35.16,35.16,OK,1500,°C
11,35.176,35.176,OK,1500,°C
12,35.262,35.262,OK,1500,°C
13,35.266,35.266,OK,1500,°C
14,35.336,35.336,OK,1500,°C
15,35.344,35.344,OK,1500,°C
16,35.328,35.328,OK,1500,°C
17,35.437,35.437,OK,1500,°C
18,35.41,35.41,OK,1500,°C
19,60.414,,SPIKE,1500,°C
20,35.422,35.422,OK,1500,°C
21,35.422,35.422,OK,1500,°C
22,35.508,35.508,OK,1500,°C
23,35.422,35.422,OK,1500,°C
24,35.516,35.516,OK,1500,°C
25,35.426,35.426,OK,1500,°C
26,,,MISSING,1500,°C
27,,,MISSING,1500,°C
28,,,MISSING,1500,°C
29,,,MISSING,1500,°C
30,,,GAP,1500,°C
31,,,GAP,1500,°C
32,,,GAP,1500,°C
33,35.586,35.586,OK,1500,°C
34,35.609,35.609,OK,1500,°C
35,35.66,35.66,OK,1500,°C
36,35.648,35.648,OK,1500,°C
37,35.586,35.586,OK,1500,°C
38,35.664,35.664,OK,1500,°C
39,35.652,35.652,OK,1500,°C
40,35.652,35.652,OK,1500,°C
41,35.664,35.664,OK,1500,°C
42,35.668,35.668,OK,1500,°C
43,35.652,35.652,OK,1500,°C
44,35.652,35.652,OK,1500,°C
45,35.652,35.652,OK,1500,°C
46,35.652,35.652,OK,1500,°C
47,35.652,35.652,OK,1500,°C
48,35.652,35.652,OK,1500,°C
49,35.652,35.652,OK,1500,°C
50,35.652,,STUCK,1500,°C
51,35.652,,STUCK,1500,°C
52,35.652,,STUCK,1500,°C
53,35.57,35.57,OK,1500,°C
54,35.566,35.566,OK,1500,°C
55,35.574,35.574,OK,1500,°C
56,35.594,35.594,OK,1500,°C
57,35.559,35.559,OK,1500,°C
58,35.566,35.566,OK,1500,°C
59,35.566,35.566,OK,1500,°C
